price,rooms,bathroom,lift,terrace,square_meters,square_meters_price,real_state_apartment,real_state_attic,real_state_study,neighborhood_Ciutat Vella,neighborhood_Gràcia,neighborhood_Horta- Guinardo,neighborhood_Les Corts,neighborhood_Nou Barris,neighborhood_Sant Andreu,neighborhood_Sant Martí,neighborhood_Sants-Montjuïc,neighborhood_Sarria-Sant Gervasi
2500,4,2,1,0,161.0,15.527950310559008,0,0,0,0,0,0,0,0,0,0,0,1
1335,2,1,1,0,55.0,24.27272727272728,0,0,0,0,0,0,0,0,0,1,0,0
900,1,1,1,0,45.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0
1180,3,1,1,1,79.0,14.936708860759492,0,0,0,0,0,0,0,0,0,0,0,0
900,3,1,1,0,65.0,13.846153846153848,0,0,0,0,0,0,1,0,0,0,0,0
1200,4,2,1,0,116.0,10.344827586206897,0,0,0,0,0,0,0,0,0,0,0,1
750,1,1,0,0,45.0,16.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0
1400,3,2,1,0,93.0,15.053763440860216,0,0,0,0,0,0,0,0,0,0,0,1
852,4,1,1,0,75.0,11.36,0,0,0,0,0,0,0,0,0,0,1,0
1250,4,2,1,1,98.0,12.755102040816327,0,0,0,0,0,0,0,0,0,0,0,0
750,2,1,0,0,60.0,12.5,0,0,0,0,1,0,0,0,0,0,0,0
1000,1,1,1,0,60.0,16.666666666666668,0,0,0,0,0,0,0,0,0,0,0,1
1250,4,2,1,0,121.0,10.330578512396697,0,0,0,0,0,0,0,0,0,0,0,0
900,2,1,1,0,78.0,11.538461538461538,0,0,0,0,0,0,0,0,0,1,0,0
1600,3,2,1,1,78.0,20.512820512820515,0,1,0,0,1,0,0,0,0,0,0,0
1450,4,2,1,0,177.0,8.192090395480227,0,0,0,0,0,0,0,0,0,1,0,0
900,2,1,1,0,55.0,16.363636363636363,0,0,0,0,0,0,0,0,1,0,0,0
1350,3,2,1,0,76.0,17.763157894736842,0,0,0,0,0,0,0,0,0,1,0,0
1246,1,1,1,0,51.0,24.431372549019606,0,0,0,0,0,0,0,0,0,0,0,0
850,1,1,0,0,45.0,18.88888888888889,0,0,0,1,0,0,0,0,0,0,0,0
750,3,1,1,0,42.0,17.857142857142858,0,0,0,0,1,0,0,0,0,0,0,0
1580,3,2,1,1,110.0,14.363636363636363,0,0,0,1,0,0,0,0,0,0,0,0
1950,4,2,1,1,158.0,12.341772151898734,0,0,0,0,0,0,0,0,0,0,0,0
1350,1,1,1,1,60.0,22.5,0,1,0,1,0,0,0,0,0,0,0,0
1060,4,2,1,0,90.0,11.77777777777778,0,0,0,0,0,0,0,0,1,0,0,0
1350,3,2,1,0,104.0,12.98076923076923,0,0,0,0,0,0,0,0,0,0,0,1
900,4,1,1,0,80.0,11.25,0,0,0,0,0,0,0,0,0,0,0,0
2700,4,2,1,0,85.0,31.764705882352946,0,0,0,0,0,0,0,0,0,0,0,1
1600,2,2,1,0,100.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0
625,2,1,1,0,41.0,15.24390243902439,0,0,0,0,0,1,0,0,0,0,0,0
2550,2,2,1,0,137.0,18.613138686131386,0,0,0,1,0,0,0,0,0,0,0,0
925,4,2,1,1,101.0,9.15841584158416,0,0,0,0,0,0,0,0,0,1,0,0
2200,2,2,1,1,79.0,27.848101265822784,0,1,0,0,0,0,0,0,0,1,0,0
2700,3,2,1,0,85.0,31.764705882352946,0,0,0,0,0,0,0,0,0,0,0,1
1290,2,1,1,0,70.0,18.428571428571427,0,0,0,0,0,0,1,0,0,0,0,0
3000,3,2,0,0,150.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0
780,2,1,0,0,62.0,12.580645161290322,0,0,0,0,0,1,0,0,0,0,0,0
1300,5,3,1,0,130.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0
1053,4,2,1,0,95.0,11.08421052631579,0,0,0,0,0,0,0,0,0,1,0,0
1250,1,1,0,0,35.0,35.714285714285715,1,0,0,0,0,0,0,0,0,0,0,0
650,1,1,0,0,55.0,11.818181818181818,0,0,0,1,0,0,0,0,0,0,0,0
1500,4,2,1,0,150.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0
1190,4,2,1,0,130.0,9.153846153846152,0,0,0,0,0,0,0,0,0,0,0,0
660,2,1,0,0,46.0,14.347826086956522,0,0,0,0,0,0,0,0,1,0,0,0
1585,4,2,1,1,123.0,12.886178861788618,0,0,0,0,0,0,0,0,0,0,0,1
950,4,1,1,0,79.0,12.025316455696204,0,0,0,0,0,0,0,0,1,0,0,0
1850,3,3,1,0,140.0,13.214285714285714,0,0,0,0,0,0,0,0,0,0,0,1
1080,3,1,1,0,72.0,15.0,0,0,0,0,0,0,0,0,0,1,0,0
710,1,1,1,0,90.0,7.888888888888889,0,0,0,0,0,0,0,0,0,0,1,0
2200,4,2,0,0,90.0,24.444444444444443,1,0,0,0,1,0,0,0,0,0,0,0
3468,3,2,0,0,98.0,35.38775510204081,1,0,0,1,0,0,0,0,0,0,0,0
1100,1,1,1,0,45.0,24.444444444444443,1,0,0,0,0,0,1,0,0,0,0,0
1700,2,2,1,0,73.0,23.28767123287671,0,0,0,0,0,0,0,0,0,1,0,0
590,1,1,0,0,46.0,12.826086956521738,0,0,0,1,0,0,0,0,0,0,0,0
770,1,1,0,0,55.0,14.0,0,0,0,0,0,0,0,0,0,0,1,0
3300,3,1,1,0,151.0,21.85430463576159,0,0,0,0,0,0,0,0,0,0,0,1
700,2,1,0,0,50.0,14.0,0,0,0,0,0,0,0,0,0,0,1,0
2900,4,1,1,0,138.0,21.014492753623188,0,0,0,0,0,0,0,0,0,0,0,1
3300,4,1,1,0,153.0,21.5686274509804,0,0,0,0,0,0,0,0,0,0,0,1
2300,3,1,1,0,113.0,20.353982300884955,0,0,0,0,0,0,0,0,0,0,0,1
825,2,1,1,0,38.0,21.71052631578948,0,0,0,1,0,0,0,0,0,0,0,0
1100,2,1,1,1,76.0,14.473684210526317,0,0,0,1,0,0,0,0,0,0,0,0
1000,2,2,1,1,65.0,15.384615384615383,0,0,0,1,0,0,0,0,0,0,0,0
850,1,1,1,0,61.0,13.934426229508198,0,0,0,0,1,0,0,0,0,0,0,0
850,2,1,1,0,53.0,16.037735849056602,0,0,0,1,0,0,0,0,0,0,0,0
900,3,1,1,0,77.0,11.688311688311687,0,0,0,0,0,0,0,0,0,0,0,0
2000,4,3,1,0,202.0,9.9009900990099,0,0,0,0,0,0,0,0,0,0,0,0
1100,2,2,1,0,92.0,11.956521739130435,0,0,0,1,0,0,0,0,0,0,0,0
850,3,1,1,0,61.0,13.934426229508198,0,0,0,0,1,0,0,0,0,0,0,0
2850,3,2,1,0,171.0,16.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0
2500,3,2,1,0,180.0,13.88888888888889,1,0,0,0,0,0,0,0,0,0,0,0
1500,2,2,1,0,60.0,25.0,1,0,0,0,0,0,0,0,0,0,0,0
2057,1,1,1,0,74.0,27.7972972972973,1,0,0,0,0,0,0,0,0,1,0,0
1800,3,2,0,0,100.0,18.0,1,0,0,1,0,0,0,0,0,0,0,0
1800,1,1,0,0,90.0,20.0,1,0,0,0,1,0,0,0,0,0,0,0
1550,3,1,0,0,63.0,24.603174603174605,1,0,0,0,0,0,0,0,0,0,1,0
1800,1,1,0,0,55.0,32.72727272727273,1,0,0,0,0,0,0,0,0,0,1,0
2400,2,1,0,0,65.0,36.92307692307692,1,0,0,1,0,0,0,0,0,0,0,0
1600,1,1,0,0,48.0,33.333333333333336,1,0,0,1,0,0,0,0,0,0,0,0
976,3,1,0,0,80.0,12.2,1,0,0,1,0,0,0,0,0,0,0,0
976,3,1,0,0,80.0,12.2,1,0,0,1,0,0,0,0,0,0,0,0
2021,2,1,0,0,60.0,33.68333333333333,1,0,0,0,0,0,0,0,0,0,0,0
1540,2,1,0,0,75.0,20.53333333333333,1,0,0,0,0,0,0,0,0,0,0,0
900,2,2,1,0,60.0,15.0,0,0,0,1,0,0,0,0,0,0,0,0
890,1,1,1,0,40.0,22.25,0,0,1,0,0,0,0,0,0,0,0,1
1500,1,1,1,0,58.0,25.86206896551724,1,0,0,0,0,0,0,0,0,1,0,0
2300,3,2,1,0,90.0,25.55555555555556,1,0,0,0,0,0,0,0,0,0,0,0
1970,2,2,1,0,73.0,26.98630136986301,0,0,0,0,0,0,0,0,0,1,0,0
1210,2,1,1,0,47.0,25.74468085106383,0,0,0,0,0,0,0,0,0,1,0,0
1185,2,1,0,0,47.0,25.21276595744681,0,0,0,0,0,0,0,0,0,1,0,0
2250,3,2,1,0,100.0,22.5,1,0,0,0,0,0,0,0,0,0,0,0
1900,2,2,1,0,73.0,26.02739726027397,0,0,0,0,0,0,0,0,0,1,0,0
3500,3,3,1,0,205.0,17.073170731707318,1,0,0,0,0,0,0,0,0,0,0,0
1250,3,1,1,0,75.0,16.666666666666668,0,0,0,0,0,0,1,0,0,0,0,0
795,2,2,1,1,59.0,13.47457627118644,0,0,0,0,0,0,0,1,0,0,0,0
780,3,1,1,0,68.0,11.470588235294118,0,0,0,0,0,1,0,0,0,0,0,0
950,3,1,0,1,101.0,9.405940594059404,0,0,0,1,0,0,0,0,0,0,0,0
895,3,1,0,1,85.0,10.529411764705882,0,0,0,0,1,0,0,0,0,0,0,0
995,4,2,1,0,90.0,11.055555555555555,0,0,0,0,0,0,0,0,0,0,1,0
780,2,1,0,0,51.0,15.294117647058824,0,0,0,0,0,0,0,1,0,0,0,0
2400,3,3,1,0,140.0,17.142857142857142,0,0,0,0,0,0,0,0,0,0,0,1
1170,2,1,1,1,72.0,16.25,0,0,0,0,0,0,0,0,0,0,0,0
2200,2,1,1,0,65.0,33.84615384615385,0,0,0,0,0,0,0,0,0,0,0,1
2700,3,2,1,0,85.0,31.764705882352946,0,0,0,0,0,0,0,0,0,0,0,1
1600,1,1,1,0,60.0,26.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0
1300,3,1,1,0,85.0,15.294117647058824,0,0,0,0,0,0,0,0,0,0,0,0
650,1,1,1,0,28.0,23.214285714285715,1,0,0,1,0,0,0,0,0,0,0,0
730,1,1,0,0,40.0,18.25,0,0,0,1,0,0,0,0,0,0,0,0
1750,3,2,1,0,140.0,12.5,0,0,0,0,0,0,0,0,0,0,0,1
1250,2,2,1,0,70.0,17.857142857142858,0,0,0,0,0,0,0,0,0,0,0,0
1000,1,1,1,1,51.0,19.607843137254903,0,0,0,0,1,0,0,0,0,0,0,0
1220,1,1,1,0,75.0,16.266666666666666,1,0,0,0,0,0,0,0,0,0,0,1
800,2,1,1,0,60.0,13.333333333333334,0,0,0,0,1,0,0,0,0,0,0,0
980,3,1,1,0,67.0,14.626865671641792,0,0,0,0,0,0,0,0,0,0,0,0
1195,1,1,1,0,95.0,12.578947368421051,0,0,0,0,0,0,0,0,1,0,0,0
1050,1,1,1,0,61.0,17.21311475409836,1,0,0,1,0,0,0,0,0,0,0,0
1700,4,2,1,1,95.0,17.894736842105264,0,0,0,0,0,0,0,0,0,0,0,0
1800,4,2,1,1,92.0,19.565217391304348,0,0,0,0,0,0,0,0,0,0,0,0
1350,4,2,1,0,120.0,11.25,0,0,0,0,0,0,0,0,0,0,0,0
930,2,1,1,1,70.0,13.285714285714286,0,0,0,0,0,0,0,0,0,0,1,0
995,4,1,1,1,87.0,11.436781609195402,0,0,0,0,0,1,0,0,0,0,0,0
1200,2,1,1,1,65.0,18.46153846153846,0,0,0,0,0,0,0,0,0,0,0,1
850,2,1,1,0,47.0,18.08510638297872,0,0,0,1,0,0,0,0,0,0,0,0
990,2,2,0,0,80.0,12.375,0,0,0,0,0,0,0,0,0,0,0,1
2550,2,2,1,0,123.0,20.73170731707317,0,0,0,1,0,0,0,0,0,0,0,0
1150,2,1,1,0,60.0,19.166666666666668,1,0,0,1,0,0,0,0,0,0,0,0
1200,3,1,1,0,75.0,16.0,1,0,0,1,0,0,0,0,0,0,0,0
1300,2,1,0,0,70.0,18.571428571428573,0,0,0,1,0,0,0,0,0,0,0,0
1350,2,1,1,0,65.0,20.76923076923077,0,0,0,1,0,0,0,0,0,0,0,0
2000,2,2,1,1,115.0,17.391304347826086,0,0,0,1,0,0,0,0,0,0,0,0
850,1,1,0,0,40.0,21.25,1,0,0,1,0,0,0,0,0,0,0,0
1475,2,2,0,0,121.0,12.1900826446281,0,0,0,1,0,0,0,0,0,0,0,0
1400,1,1,1,0,33.0,42.42424242424242,0,0,0,1,0,0,0,0,0,0,0,0
4000,2,2,1,0,115.0,34.78260869565217,1,0,0,1,0,0,0,0,0,0,0,0
900,1,1,0,0,36.0,25.0,0,0,0,1,0,0,0,0,0,0,0,0
950,3,2,0,0,75.0,12.666666666666666,0,0,0,1,0,0,0,0,0,0,0,0
1300,1,1,0,0,68.0,19.11764705882353,0,0,0,1,0,0,0,0,0,0,0,0
1250,2,2,1,1,103.0,12.135922330097088,0,0,0,1,0,0,0,0,0,0,0,0
1100,3,2,1,0,85.0,12.941176470588236,0,0,0,1,0,0,0,0,0,0,0,0
2000,2,2,1,1,120.0,16.666666666666668,0,0,0,1,0,0,0,0,0,0,0,0
1100,1,1,1,0,68.0,16.176470588235293,0,0,0,1,0,0,0,0,0,0,0,0
1100,1,1,1,0,50.0,22.0,0,0,0,1,0,0,0,0,0,0,0,0
1600,3,2,1,0,122.0,13.114754098360656,0,0,0,1,0,0,0,0,0,0,0,0
1800,3,2,1,0,85.0,21.176470588235293,0,0,0,1,0,0,0,0,0,0,0,0
1000,3,1,0,0,70.0,14.285714285714286,0,0,0,1,0,0,0,0,0,0,0,0
702,2,1,1,0,37.0,18.97297297297297,0,0,0,1,0,0,0,0,0,0,0,0
3000,4,2,0,1,180.0,16.666666666666668,0,0,0,1,0,0,0,0,0,0,0,0
1700,2,2,1,0,120.0,14.166666666666666,0,0,0,1,0,0,0,0,0,0,0,0
1350,5,2,0,0,112.0,12.053571428571429,0,0,0,1,0,0,0,0,0,0,0,0
1600,3,2,1,0,86.0,18.6046511627907,0,1,0,1,0,0,0,0,0,0,0,0
1175,3,2,0,0,97.0,12.11340206185567,0,0,0,1,0,0,0,0,0,0,0,0
1250,2,2,1,0,46.0,27.17391304347826,0,0,0,1,0,0,0,0,0,0,0,0
2500,3,2,1,0,139.0,17.985611510791365,1,0,0,1,0,0,0,0,0,0,0,0
1100,2,1,1,0,46.0,23.91304347826087,0,0,0,1,0,0,0,0,0,0,0,0
800,3,1,0,0,55.0,14.545454545454543,0,0,0,1,0,0,0,0,0,0,0,0
1360,2,1,1,1,57.0,23.859649122807017,1,0,0,1,0,0,0,0,0,0,0,0
1700,2,2,0,1,151.0,11.258278145695364,0,0,0,1,0,0,0,0,0,0,0,0
2000,2,2,0,0,121.0,16.52892561983471,0,0,0,1,0,0,0,0,0,0,0,0
1500,3,2,1,0,89.0,16.853932584269664,0,0,0,1,0,0,0,0,0,0,0,0
1100,1,1,1,1,40.0,27.5,0,0,0,1,0,0,0,0,0,0,0,0
690,1,1,0,0,37.0,18.64864864864865,0,0,0,1,0,0,0,0,0,0,0,0
1500,1,2,0,0,110.0,13.636363636363637,0,0,0,1,0,0,0,0,0,0,0,0
1690,3,2,0,0,130.0,13.0,1,0,0,1,0,0,0,0,0,0,0,0
1100,2,2,1,0,58.0,18.96551724137931,0,0,0,1,0,0,0,0,0,0,0,0
2200,2,2,1,1,90.0,24.444444444444443,0,0,0,1,0,0,0,0,0,0,0,0
1290,4,2,1,0,120.0,10.75,1,0,0,1,0,0,0,0,0,0,0,0
1350,2,2,1,0,46.0,29.347826086956523,0,0,0,1,0,0,0,0,0,0,0,0
1290,2,1,0,0,62.0,20.806451612903224,0,0,0,1,0,0,0,0,0,0,0,0
1900,2,2,1,0,99.0,19.19191919191919,0,0,0,1,0,0,0,0,0,0,0,0
1400,2,2,1,1,65.0,21.53846153846154,0,0,0,1,0,0,0,0,0,0,0,0
800,2,1,0,0,50.0,16.0,0,0,0,1,0,0,0,0,0,0,0,0
1500,2,1,1,1,62.0,24.193548387096776,1,0,0,1,0,0,0,0,0,0,0,0
900,2,1,1,0,60.0,15.0,0,0,0,1,0,0,0,0,0,0,0,0
1050,1,1,0,0,80.0,13.125,0,0,0,1,0,0,0,0,0,0,0,0
1250,2,2,1,1,67.0,18.65671641791045,0,0,0,1,0,0,0,0,0,0,0,0
1130,1,1,1,1,47.0,24.04255319148936,1,0,0,1,0,0,0,0,0,0,0,0
1000,2,3,1,0,70.0,14.285714285714286,1,0,0,1,0,0,0,0,0,0,0,0
1200,1,1,1,0,65.0,18.46153846153846,0,0,0,1,0,0,0,0,0,0,0,0
1250,2,1,1,1,62.0,20.161290322580644,1,0,0,1,0,0,0,0,0,0,0,0
1100,1,1,1,0,110.0,10.0,0,0,0,1,0,0,0,0,0,0,0,0
2300,4,3,1,0,147.0,15.64625850340136,1,0,0,1,0,0,0,0,0,0,0,0
1350,2,2,0,0,60.0,22.5,0,0,0,1,0,0,0,0,0,0,0,0
1200,2,2,0,0,70.0,17.142857142857142,0,0,0,1,0,0,0,0,0,0,0,0
2500,2,2,1,0,122.0,20.49180327868853,1,0,0,1,0,0,0,0,0,0,0,0
2700,4,2,1,1,162.0,16.666666666666668,1,0,0,1,0,0,0,0,0,0,0,0
1400,3,1,1,0,80.0,17.5,0,0,0,1,0,0,0,0,0,0,0,0
1500,2,2,1,1,98.0,15.306122448979592,0,0,0,1,0,0,0,0,0,0,0,0
1350,1,1,0,1,35.0,38.57142857142857,0,0,0,1,0,0,0,0,0,0,0,0
1250,2,1,0,0,65.0,19.23076923076923,0,0,0,1,0,0,0,0,0,0,0,0
1100,2,2,1,0,75.0,14.666666666666666,1,0,0,1,0,0,0,0,0,0,0,0
1000,1,1,1,1,40.0,25.0,0,0,0,1,0,0,0,0,0,0,0,0
1250,2,2,1,0,46.0,27.17391304347826,0,0,0,1,0,0,0,0,0,0,0,0
1000,2,2,1,0,66.0,15.151515151515152,1,0,0,1,0,0,0,0,0,0,0,0
1200,4,2,1,0,130.0,9.23076923076923,0,0,0,1,0,0,0,0,0,0,0,0
1600,3,2,1,0,173.0,9.248554913294798,0,0,0,1,0,0,0,0,0,0,0,0
1500,2,2,1,1,86.0,17.441860465116278,0,0,0,1,0,0,0,0,0,0,0,0
1200,2,1,0,0,85.0,14.117647058823527,0,0,0,1,0,0,0,0,0,0,0,0
2290,4,2,1,1,180.0,12.72222222222222,0,0,0,0,1,0,0,0,0,0,0,0
1900,3,1,1,1,125.0,15.2,0,0,0,0,1,0,0,0,0,0,0,0
1300,3,2,1,1,100.0,13.0,0,0,0,0,1,0,0,0,0,0,0,0
2500,2,2,1,1,72.0,34.72222222222222,0,0,0,0,1,0,0,0,0,0,0,0
1800,2,1,0,1,100.0,18.0,0,0,0,0,1,0,0,0,0,0,0,0
3600,3,2,0,0,193.0,18.65284974093264,0,1,0,0,1,0,0,0,0,0,0,0
1200,2,1,1,0,77.0,15.584415584415584,0,0,0,0,1,0,0,0,0,0,0,0
1350,1,1,0,1,50.0,27.0,1,0,0,0,1,0,0,0,0,0,0,0
1250,2,2,0,0,75.0,16.666666666666668,0,0,0,0,1,0,0,0,0,0,0,0
1480,2,2,1,0,100.0,14.8,0,0,0,0,1,0,0,0,0,0,0,0
1300,2,1,1,0,60.0,21.666666666666668,1,0,0,0,1,0,0,0,0,0,0,0
1350,2,1,1,0,60.0,22.5,1,0,0,0,1,0,0,0,0,0,0,0
1800,3,2,1,0,100.0,18.0,0,0,0,0,1,0,0,0,0,0,0,0
1900,1,1,0,1,80.0,23.75,0,0,0,0,1,0,0,0,0,0,0,0
1300,3,1,0,1,85.0,15.294117647058824,0,0,0,0,1,0,0,0,0,0,0,0
1400,3,2,0,0,125.0,11.2,0,0,0,0,1,0,0,0,0,0,0,0
1835,1,1,1,0,59.0,31.10169491525424,0,0,0,0,1,0,0,0,0,0,0,0
1400,2,1,1,0,55.0,25.454545454545453,0,0,0,0,1,0,0,0,0,0,0,0
1900,1,1,0,1,80.0,23.75,0,0,0,0,1,0,0,0,0,0,0,0
1500,1,1,0,1,94.0,15.95744680851064,0,0,0,0,1,0,0,0,0,0,0,0
1800,2,1,1,0,100.0,18.0,0,0,0,0,1,0,0,0,0,0,0,0
1800,2,1,0,1,65.0,27.692307692307693,0,1,0,0,1,0,0,0,0,0,0,0
2050,3,2,1,1,177.0,11.581920903954805,0,0,0,0,1,0,0,0,0,0,0,0
3200,5,3,1,0,208.0,15.384615384615383,0,0,0,0,1,0,0,0,0,0,0,0
3768,3,2,1,1,117.0,32.205128205128204,0,0,0,0,1,0,0,0,0,0,0,0
1300,4,1,0,1,85.0,15.294117647058824,0,0,0,0,1,0,0,0,0,0,0,0
1300,4,1,1,0,107.0,12.149532710280374,0,0,0,0,0,0,1,0,0,0,0,0
990,2,1,1,0,74.0,13.37837837837838,0,0,0,0,0,0,0,0,0,0,0,0
1200,3,2,1,1,77.0,15.584415584415584,0,0,0,0,0,0,0,0,0,0,1,0
2229,3,2,0,0,80.0,27.8625,1,0,0,0,0,0,0,0,0,0,0,0
1806,2,2,0,0,80.0,22.575,1,0,0,0,0,0,0,0,0,1,0,0
2155,3,2,0,0,80.0,26.9375,1,0,0,0,0,0,0,0,0,0,0,0
2317,3,2,0,0,80.0,28.9625,1,0,0,0,0,0,0,0,0,0,0,0
2008,3,2,0,0,80.0,25.1,1,0,0,0,0,0,0,0,0,0,0,0
2760,3,2,0,0,80.0,34.5,1,0,0,0,0,0,0,0,0,0,0,0
950,1,1,1,1,40.0,23.75,0,1,0,0,0,0,0,0,0,0,0,0
900,1,1,1,0,45.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0
850,1,1,1,0,50.0,17.0,0,0,0,1,0,0,0,0,0,0,0,0
1000,3,2,1,0,88.0,11.363636363636363,0,0,0,0,0,0,0,0,0,0,0,0
950,2,1,1,0,45.0,21.11111111111111,0,0,0,0,0,0,0,0,0,0,0,0
1500,3,2,0,0,92.0,16.304347826086957,0,0,0,0,0,0,0,0,0,0,0,1
1600,3,2,1,1,100.0,16.0,0,0,0,0,0,0,0,0,0,0,0,1
1000,1,2,1,0,50.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0
1200,1,1,1,0,50.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0
1350,3,1,1,1,120.0,11.25,0,0,0,0,0,0,0,0,0,0,0,0
1425,2,2,1,0,88.0,16.193181818181817,0,0,0,0,0,0,1,0,0,0,0,0
1550,5,2,1,1,146.0,10.616438356164384,0,0,0,0,0,0,1,0,0,0,0,0
1495,4,2,1,0,123.0,12.154471544715449,0,0,0,0,0,0,1,0,0,0,0,0
950,2,1,1,0,62.0,15.32258064516129,0,0,0,0,0,0,0,0,0,0,0,0
950,1,1,1,0,50.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0
2300,2,2,0,0,96.0,23.95833333333333,0,0,0,1,0,0,0,0,0,0,0,0
3200,5,3,1,0,200.0,16.0,0,0,0,0,0,0,1,0,0,0,0,0
3400,5,3,1,0,200.0,17.0,0,0,0,0,0,0,1,0,0,0,0,0
3200,4,3,1,1,148.0,21.62162162162162,0,0,0,0,0,0,0,0,0,0,0,1
1500,2,2,1,0,88.0,17.045454545454547,0,0,0,0,0,0,0,0,0,0,0,1
2300,4,2,1,0,158.0,14.556962025316457,0,0,0,0,0,0,0,0,0,0,0,1
1100,2,1,1,0,57.0,19.29824561403509,0,0,0,0,0,0,0,0,0,0,0,0
1100,1,1,1,1,45.0,24.444444444444443,0,1,0,0,0,0,0,0,0,0,0,1
1150,1,1,1,0,40.0,28.75,0,0,0,0,0,0,0,0,0,0,0,1
1060,4,2,1,0,98.0,10.816326530612244,0,0,0,0,0,0,0,0,0,0,0,1
750,1,1,0,0,60.0,12.5,0,0,0,0,0,0,0,0,0,0,1,0
1000,3,1,1,1,71.0,14.084507042253522,0,1,0,0,0,1,0,0,0,0,0,0
750,2,1,0,0,52.0,14.423076923076923,0,0,0,0,0,0,0,0,0,0,1,0
1200,2,2,1,0,113.0,10.619469026548671,0,0,0,0,0,0,0,0,0,0,0,0
700,1,1,1,0,50.0,14.0,0,0,0,1,0,0,0,0,0,0,0,0
1125,2,1,1,1,75.0,15.0,0,0,0,1,0,0,0,0,0,0,0,0
1300,2,1,1,0,80.0,16.25,0,0,0,0,0,0,0,0,0,0,0,0
970,2,1,1,1,43.0,22.55813953488372,0,0,0,0,0,0,0,0,0,0,0,1
1950,5,3,1,1,170.0,11.470588235294118,0,0,0,0,0,0,0,0,0,0,0,1
1000,3,1,1,1,70.0,14.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0
1850,3,2,1,1,100.0,18.5,0,0,0,0,0,0,0,0,0,0,0,1
